[The, 26]
[dicho, 211]
[entremos, 2]
[donde, 224]
[mucho, 426]
[encanto, 20]
[imaginación, 50]
[recreo, 11]
[pensamiento, 67]
[Escribió, 3]
[lejanos, 22]
[andábamos, 1]
[aquella, 900]
[procesión, 15]
[Naturalismo, 8]
[marchando, 1]
[hacia, 115]
[templo, 54]
[pompa, 1]
[retórica, 17]
[antes, 272]
[usaba, 28]
[abandonadas, 1]
[vestiduras, 2]
[caballerescas, 2]
[haciendo, 56]
[gala, 5]
[ropa, 52]
[usada, 2]
[actos, 15]
[comunes, 7]
[A, 381]
[imponía, 6]
[creyéndolo, 2]
[portador, 1]
[todas, 332]
[fealdades, 1]
[sociales, 14]
[humanas, 9]
[mano, 208]
[veían, 33]
[gran, 294]
[plumero, 3]
[cual, 157]
[proponía, 14]
[limpiar, 5]
[techo, 28]
[ojos, 433]
[eran, 407]
[telarañas, 5]
[escoba, 7]
[había, 2781]
[barrer, 4]
[suelo, 59]
[virtudes, 6]
[sentimientos, 22]
[puros, 6]
[lenguaje, 23]
[decente, 9]
[Creían, 2]
[substituía, 1]
[Diccionario, 3]
[usual, 2]
[formado, 9]
[recopilación, 1]
[prolija, 1]
[cuanto, 249]
[dicen, 41]
[momentos, 31]
[furor, 13]
[carreteros, 1]
[verduleras, 1]
[chulos, 1]
[golfos, 1]
[desvergonzados, 1]
[Las, 165]
[crédulas, 1]
[sencillas, 3]
[ganan, 4]
[sustos, 8]
[hizo, 150]
[moda, 27]
[aquel, 821]
[sistema, 17]
[rara, 23]
[novedad, 22]
[Luego, 8]
[vio, 195]
[era, 2618]
[esencial, 4]
[teníamos, 3]
[casa, 620]
[desde, 259]
[remotos, 5]
[antiguos, 21]
[modernos, 7]
[conocían, 12]
[soberana, 2]
[ley, 37]
[ajustar, 4]
[ficciones, 1]
[alma, 355]
[representando, 5]
[caracteres, 5]
[lugares, 15]
[Dios, 359]
[hecho, 229]
[Era, 320]
[sólo, 209]
[exaltación, 19]
[principio, 53]
[cierto, 118]
[desprecio, 35]
[resortes, 5]
[imaginativos, 1]
[psicología, 3]
[espaciada, 1]
[ensoñadora, 1]
[Fuera, 13]
[llamado, 25]
[familiar, 31]
[españoles, 6]
[reino, 7]
[Novela, 1]
[maestros, 3]
[practicaron, 1]
[libertad, 33]
[ellos, 165]
[tomaron, 5]
[enseñanza, 9]
[noveladores, 1]
[ingleses, 9]
[franceses, 3]
[Nuestros, 2]
[ciertamente, 4]
[habían, 400]
[olvidado, 33]
[vieron, 11]
[traspasar, 1]
[frontera, 1]
[estandarte, 1]
[naturalista, 4]
[significaba, 9]
[repatriación, 2]
[vieja, 26]
[mismos, 26]
[trompeteada, 1]
[pintura, 10]
[fiel, 29]
[practicada, 2]
[España, 22]
[Pereda, 1]
[otros, 219]
[sido, 283]
[escritores, 3]
[costumbres, 40]
[fuerza, 177]
[reconocer, 9]
[volvía, 106]
[corriente, 39]
[circular, 3]
[parecida, 16]
[gulf, 1]
[stream, 1]
[traía, 36]
[delicadeza, 13]
[gracia, 83]
[inicial, 1]
[encarnaba, 2]
[cuerpo, 212]
[rostro, 136]
[humorismo, 3]
[forma, 44]
[genial, 1]
[Al, 169]
[onda, 3]
[venía, 111]
[radicalmente, 2]
[desfigurada, 3]
[Albión, 1]
[habíanle, 1]
[arrebatado, 1]
[socarronería, 2]
[convirtieron, 3]
[humour, 1]
[inglés, 22]
[hábiles, 1]
[Fielding, 1]
[Dickens, 1]
[Thackeray, 1]
[despojado, 3]
[característica, 5]
[elemental, 2]
[naturalismo, 1]
[cambió, 4]
[fisonomía, 3]
[francesas, 1]
[perdió, 11]
[donosura, 1]
[ganó, 3]
[analítica, 1]
[extensión, 2]
[aplicándose, 1]
[psicológicos, 2]
[encajan, 1]
[picaresca, 5]
[Recibimos, 1]
[mermas, 2]
[adiciones, 1]
[asustemos, 1]
[símil, 4]
[comercial, 1]
[mercancía, 3]
[habíamos, 5]
[exportado, 1]
[casi, 239]
[desconocíamos, 1]
[aliento, 16]
[literario, 5]
[conservaba, 7]
[alteraciones, 1]
[viajes, 8]
[resumidas, 9]
[cuentas, 48]
[Francia, 7]
[poder, 113]
[incontrastable, 1]
[reforma, 2]
[propia, 56]
[saber, 152]
[aceptámosla, 1]
[nosotros, 38]
[restaurando, 1]
[devolviéndole, 1]
[quitado, 3]
[empleando, 1]
[formas, 37]
[descriptiva, 2]
[conforme, 8]
[tradición, 5]
[cervantesca, 1]
[Cierto, 12]
[integrar, 1]
[podía, 474]
[eco, 6]
[tuvo, 146]
[interpretación, 3]
[seca, 17]
[descarnada, 1]
[purezas, 1]
[e, 70]
[impurezas, 2]
[natural, 73]
[porque, 550]
[poderosa, 14]
[artes, 13]
[voces, 38]
[damos, 2]
[quieran, 5]
[elevarse, 5]
[salen, 6]
[estrechez, 5]
[pobre, 162]
[consolémonos, 1]
[aislamiento, 2]
[occidental, 1]
[reconociendo, 1]
[familia, 71]
[naturalidad, 4]
[concierto, 16]
[entre, 448]
[serio, 54]
[cómico, 16]
[francés, 14]
[humana, 18]
[crudezas, 1]
[descriptivas, 1]
[pierden, 3]
[repugnancia, 22]
[bajo, 103]
[máscara, 4]
[burlesca, 3]
[empleada, 3]
[Quevedo, 4]
[profundos, 3]
[estudios, 10]
[pueden, 27]
[llegar, 92]
[perfección, 13]
[granos, 5]
[sal, 6]
[D, 183]
[Juan, 99]
[Valera, 1]
[saben, 25]
[poner, 46]
[hasta, 441]
[hondas, 5]
[disertaciones, 1]
[sobre, 602]
[cosa, 306]
[mística, 23]
[ascética, 1]
[corroborar, 2]
[ningún, 52]
[ejemplo, 57]
[muestra, 2]
[restaurado, 2]
[reintegrado, 4]
[calidad, 22]
[origen, 11]
[empresa, 12]
[fácil, 29]
[hubo, 51]
[realizar, 2]
[sentirlo, 5]
[dejándose, 8]
[llevar, 37]
[primordiales, 1]
[grande, 87]
[ingenio, 9]
[Influido, 1]
[intensamente, 1]
[irresistible, 14]
[opinión, 43]
[favor, 30]
[sinceridad, 10]
[admitió, 4]
[ideas, 108]
[entusiasmo, 45]
[expuso, 6]
[disueltas, 1]
[inagotable, 6]
[vena, 1]
[graciosa, 14]
[picardía, 6]
[Picaresca, 1]
[excluye, 1]
[seriedad, 15]
[fondo, 88]
[descripción, 3]
[acertada, 1]
[graves, 16]
[aleación, 2]
[bromas, 24]
[veras, 44]
[fundidas, 1]
[juntas, 18]
[crisol, 1]
[lengua, 47]
[tiene, 204]
[semejante, 42]
[expresión, 59]
[equívoca, 1]
[gravedad, 13]
[socarrona, 2]
[Hermosa, 3]
[seduce, 1]
[enamora, 6]
[distintas, 3]
[poéticas, 12]
[escoge, 2]
[usa, 2]
[desenfado, 3]
[cortan, 2]
[españolas, 2]
[tijeras, 6]
[riquísima, 2]
[tela, 19]
[incomparable, 2]
[costura, 2]
[acomodamiento, 1]
[prosa, 23]
[siglo, 35]
[oro, 75]
[enormísima, 2]
[cantidad, 14]
[derramado, 2]
[páginas, 9]
[fe, 106]
[tenacidad, 4]
[ellas, 91]
[agarran, 1]
[lectores, 5]
[cansancio, 12]
[largo, 59]
[primero, 87]
[último, 61]
[capítulo, 6]
[De, 365]
[mí, 165]
[sé, 180]
[decir, 323]
[pocas, 85]
[leído, 51]
[interés, 43]
[profundo, 23]
[viveza, 4]
[hayan, 4]
[olvidar, 16]
[dimensiones, 2]
[terminando, 1]
[lectura, 25]
[desconsuelo, 4]
[delante, 108]
[derivación, 1]
[reencarnación, 1]
[personajes, 17]
[Desarróllase, 1]
[acción, 13]
[ciudad, 65]
[bien, 431]
[podríamos, 2]
[llamar, 36]
[patria, 18]
[nació, 4]
[Vetusta, 470]
[raíces, 13]
[atávicas, 1]
[moran, 1]
[afectos, 5]
[están, 41]
[sepultados, 2]
[risueños, 3]
[alegres, 33]
[viven, 6]
[brindando, 3]
[esperanzas, 18]
[transcurrido, 1]
[existencia, 34]
[allí, 490]
[inició, 1]
[vocación, 19]
[soledad, 45]
[melancólica, 13]
[apacible, 6]
[aprendió, 2]
[sabe, 145]
[filosóficas, 3]
[estuvieron, 5]
[discípulos, 1]
[Más, 43]
[calles, 39]
[vecindario, 7]
[capital, 37]
[asturiana, 1]
[pintoresca, 2]
[clases, 17]
[diferentes, 7]
[varios, 25]
[tipos, 3]
[compuesta, 3]
[Si, 292]
[conocerá, 3]
[pintaría, 1]
[prisión, 7]
[artista, 45]
[encarcelado, 1]
[durante, 29]
[años, 239]
[impresiones, 9]
[sedentario, 1]
[estancia, 12]
[encerrado, 9]
[persona, 66]
[maduros, 1]
[Calles, 1]
[rincones, 18]
[Catedral, 10]
[Casino, 120]
[ambiente, 30]
[pasiones, 33]
[chismes, 3]
[figures, 1]
[ridículas, 12]
[exactitud, 7]
[pasmosa, 3]
[reproducen, 1]
[mente, 4]
[lector, 7]
[acaba, 12]
[creerse, 13]
[vetustense, 64]
[ve, 46]
[proyectada, 3]
[sombra, 75]
[piedras, 25]
[musgosas, 1]
[sombras, 29]
[transeúntes, 5]
[andan, 3]
[Encimada, 35]
[pie, 165]
[gallardísima, 1]
[torre, 36]
[Iglesia, 79]
[Mayor, 14]
[Comienza, 1]
[cuadro, 30]
[clerical, 6]
[prodigio, 6]
[comparable, 3]
[casino, 6]
[provinciano, 7]
[adelante, 91]
[encuentra, 9]
[Olor, 1]
[eclesiástico, 20]
[viejos, 17]
[recintos, 1]
[sahumados, 1]
[incienso, 15]
[cuchicheos, 7]
[beatas, 22]
[visos, 1]
[negros, 30]
[sotanas, 7]
[raídas, 1]
[elegantes, 29]
[llenan, 3]
[admirables, 2]
[cuales, 17]
[narrador, 2]
[observación, 13]
[profunda, 26]
[atrevimientos, 3]
[felices, 10]
[medio, 170]
[grupo, 21]
[presenta, 4]
[figura, 55]
[culminante, 2]
[Magistral, 768]
[don, 1454]
[Fermín, 349]
[Pas, 170]
[personalidad, 3]
[compleja, 2]
[méritos, 5]
[físicos, 2]
[flaquezas, 11]
[morales, 20]
[flojas, 2]
[bloque, 1]
[arrancado, 3]
[cantera, 1]
[proceden, 3]
[derrengado, 1]
[malicioso, 7]
[Arcediano, 46]
[mal, 323]
[llaman, 12]
[Glocester, 90]
[Arcipreste, 60]
[Cayetano, 49]
[Ripamilán, 97]
[beneficiado, 21]
[Custodio, 49]
[Obispo, 100]
[diócesis, 19]
[orador, 14]
[ardiente, 21]
[asceta, 2]
[Pronto, 11]
[aparecer, 15]
[donosa, 1]
[Saturnino, 43]
[Bermúdez, 74]
[transición, 1]
[zoológica, 1]
[perdón, 22]
[laico, 4]
[híbrido, 3]
[cuya, 34]
[levita, 35]
[sotana, 46]
[timidez, 4]
[embarazosa, 2]
[inocencia, 20]
[tras, 26]
[vienen, 16]
[mundanas, 4]
[descollando, 1]
[estampa, 3]
[primorosa, 1]
[Obdulia, 195]
[Fandiño, 22]
[tipo, 13]
[beatería, 2]
[bullanguera, 2]
[acude, 1]
[iglesias, 12]
[chillonas, 1]
[elegancias, 1]
[descotada, 1]
[devociones, 4]
[perturbadora, 1]
[personal, 21]
[religioso, 34]
[provincias, 4]
[ofreciendo, 4]
[coquetismo, 1]
[campo, 66]
[restringido, 1]
[permite, 6]
[diablesas, 1]
[entretengan, 1]
[liviandad, 4]
[desplieguen, 1]
[dotes, 5]
[seducción, 20]
[toleradas, 1]
[clero, 52]
[costa, 28]
[quiere, 110]
[atraer, 2]
[gente, 40]
[venga, 20]
[viniere, 1]
[congregarla, 1]
[nutrir, 1]
[batallones, 1]
[forzoso, 2]
[admitir, 6]
[hacer, 242]
[bulto, 11]
[peor, 67]
[doña, 335]
[Ana, 896]
[Ozores, 123]
[esposa, 87]
[ex, 57]
[regente, 33]
[Audiencia, 20]
[Víctor, 490]
[Quintanar, 305]
[Es, 175]
[dama, 57]
[alto, 89]
[linaje, 6]
[hermosa, 59]
[llamamos, 3]
[distinguidas, 7]
[nerviosilla, 2]
[soñadora, 3]
[aspiraciones, 2]
[vago, 17]
[ideal, 56]
[afectivo, 1]
[realizado, 3]
[críticos, 2]
[Su, 154]
[esposo, 67]
[dobla, 1]
[edad, 38]
[tienen, 44]
[hijos, 37]
[completa, 12]
[pone, 19]
[perspicaz, 2]
[conocimiento, 10]
[escondrijos, 1]
[revueltas, 2]
[Doña, 97]
[horror, 26]
[vacío, 7]
[lógica, 12]
[cumplen, 1]
[eternas, 5]
[leyes, 33]
[Naturaleza, 3]
[siente, 13]
[crecer, 4]
[lleva, 16]
[espiritual, 74]
[inmenso, 6]
[manifestándose, 1]
[lucha, 29]
[tenebrosa, 1]
[obstáculos, 9]
[ofrecen, 4]
[hechos, 28]
[consumados, 4]
[abrumadores, 1]
[fatal, 8]
[Engañada, 1]
[idealidad, 12]
[acierta, 1]
[encerrar, 1]
[verdaderos, 10]
[términos, 13]
[víctima, 30]
[sensibilidad, 3]
[contenida, 6]
[envuelta, 5]
[horrorosa, 6]
[catástrofe, 13]
[intentaré, 1]
[describir, 7]
[palabras, 153]
[sutil, 12]
[señora, 245]
[interesante, 20]
[desgraciada, 10]
[personifican, 1]
[desvaríos, 2]
[conduce, 3]
[aburrimiento, 11]
[sabido, 26]
[vigorizar, 1]
[espíritu, 146]
[mujer, 483]
[educación, 26]
[deja, 27]
[entregada, 9]
[ensoñación, 1]
[pietista, 1]
[diferente, 11]
[piedad, 93]
[riesgos, 3]
[frívolo, 3]
[trato, 41]
[elegante, 39]
[llenos, 32]
[vicios, 9]
[incapaces, 10]
[seria, 35]
[eficaz, 10]
[estiman, 2]
[mujeres, 92]
[formulismo, 1]
[seguro, 119]
[reblandecer, 1]
[voluntades, 2]
[Los, 259]
[leyeron, 1]
[publicó, 3]
[léanla, 1]
[nuevo, 113]
[ahora, 386]
[desconocen, 1]
[hagan, 3]
[unos, 106]
[verán, 3]
[nunca, 182]
[tenido, 64]
[atmósfera, 17]
[repetición, 3]
[luchas, 7]
[antaño, 9]
[traídas, 3]
[creencias, 6]
[vigorosas, 2]
[conciencias, 5]
[desmayadas, 1]
[intenciones, 4]
[escondidas, 5]
[referiré, 1]
[verá, 19]
[desarrolla, 1]
[proceso, 2]
[psicológico, 3]
[caminos, 8]
[desenlace, 2]
[problema, 5]
[discernir, 3]
[debe, 48]
[perderse, 5]
[estilo, 64]
[perdición, 6]
[constituyen, 1]
[parentesco, 5]
[simbólico, 4]
[historia, 77]
[Verá, 6]
[también, 447]
[obligado, 6]
[escoger, 7]
[males, 12]
[decide, 4]
[seglar, 6]
[odioso, 4]
[tratándose, 14]
[presa, 13]
[diablos, 18]
[disputan, 2]
[postergado, 4]
[vistió, 11]
[audaces, 4]
[tentaciones, 13]
[ultrajando, 1]
[vestimenta, 1]
[sacro, 2]
[dogma, 26]
[dignidad, 38]
[sacerdotal, 2]
[Dejando, 1]
[curiosidad, 35]
[mencionaré, 1]
[mérito, 19]
[condición, 16]
[duradera, 3]
[Álvaro, 490]
[Mesía, 373]
[acabado, 10]
[corrupción, 10]
[buen, 226]
[tono, 75]
[aristócrata, 9]
[serlo, 15]
[región, 16]
[histórica, 4]
[metrópoli, 2]
[europea, 1]
[hombre, 381]
[posee, 1]
[amable, 20]
[conducta, 24]
[viciosa, 2]
[tiranía, 8]
[caciquil, 1]
[Con, 90]
[admirable, 8]
[fineza, 1]
[fundido, 1]
[personaje, 23]
[naturalezas, 2]
[cotorrón, 1]
[guapo, 12]
[jefe, 34]
[partidos, 3]
[circunstanciales, 1]
[representan, 5]
[miras, 3]
[elevadas, 2]
[Ambas, 1]
[compenetran, 1]
[formando, 3]
[práctica, 10]
[grandes, 144]
[masas, 4]
[distinguidos, 3]
[aparentan, 1]
[energía, 59]
[inerte, 7]
[sirve, 10]
[estética, 5]
[formidable, 17]
[sintetizan, 1]
[fisiológico, 3]
[temperamento, 17]
[nacido, 30]
[dura, 11]
[armazón, 3]
[celibato, 2]
[planchas, 1]
[acero, 15]
[comprime, 1]
[mismo, 429]
[meloso, 2]
[teología, 13]
[atesora, 1]
[resolvérsele, 1]
[reservas, 4]
[transacciones, 2]
[física, 6]
[abuso, 3]
[descubrir, 9]
[revelar, 5]
[simbolismos, 1]
[diría, 37]
[clérigo, 67]
[grandezas, 13]
[desfallecimientos, 4]
[espiritualidad, 3]
[inmaculada, 5]
[cayendo, 12]
[barro, 8]
[Todas, 17]
[divinidades, 2]
[formadas, 3]
[tejas, 4]
[abajo, 77]
[acaban, 3]
[rendirse, 3]
[flaqueza, 14]
[único, 94]
[salva, 4]
[humildad, 23]
[límites, 9]
[discretos, 6]
[imposible, 34]
